,empresa,ratio_sharpe,ratio_sortino,volatilidad,rentab_anualizada,entropia_muestreo
0,aapl,1.1647597548657995,1.495794617941468,0.021601033735647198,0.39942151430926187,0.0786979530868049
1,amgn,0.3011859890495784,0.3840283917628454,0.015563170817362188,0.07441337111716351,0.9444616088408514
2,axp,1.5926909011403536,2.408051948646746,0.02379036960365962,0.6015262280799478,0.25251815999411403
3,ba,0.9134122482292985,1.2832638180328164,0.03536316726676464,0.5127897117304945,0.5104474804451679
4,cat,0.3175461215070782,0.3852765828342764,0.02177032233480466,0.1097463510906258,0.19097078205853207
5,crm,0.8064710096204285,1.3622547643184535,0.025129643139001647,0.32173262437602457,0.5802237132189937
6,csco,0.577430170298388,0.6319002413973772,0.015874285382152412,0.14551653910619167,0.3432190834233405
7,cvx,0.35560671807059674,0.4736530288525656,0.022807496097801423,0.12875560254446938,0.5167278331429151
8,dis,1.3206298337703266,2.0969213123559456,0.020939811880701487,0.43901030067864943,0.22285656609197893
9,dow,1.4838395439473921,2.0189439637210773,0.023925789693173716,0.5636050347797599,0.3528917550288664
10,gs,0.4531612382835344,0.5649425900277387,0.02276785336636663,0.1637923769057843,0.16530590343548304
11,hd,1.298614499758238,1.7670010886348355,0.01305155042199368,0.2690679640641145,0.5069740601642806
12,ibm,0.6000912854663689,0.7239808740458954,0.016065555873558453,0.15304947273364022,0.5408000790166123
13,intc,0.012559299864938237,-0.01616273848084456,0.02470415181278989,0.004925529497429082,0.48207640342588415
14,jnj,0.6445593669731101,0.7827273137116683,0.010307432696479548,0.10547069673013043,0.5442514242389692
15,jpm,1.5096151842530448,2.0171954244593424,0.020295045976513236,0.48638193918930117,0.17283982694031935
16,ko,0.6288788365479022,0.7046643233270543,0.013069986918264609,0.13048503782152876,0.5694404283639407
17,mcd,1.1048814415601313,1.2936032925928114,0.011382621561241436,0.19965357759802038,0.41561022619954546
18,mmm,1.042189546468527,1.3556010038847306,0.013660199729466825,0.22600762008852926,0.4428710438457955
19,mrk,0.11145220472776535,0.08620220221293685,0.01223615354434766,0.021649669553726714,0.879608521666225
20,msft,1.709700662131781,2.3487371027559014,0.016381769922962582,0.4446330799298488,0.5256576127213213
21,nke,0.8391028417323735,1.1479102313375362,0.020585545546802253,0.27421881507410073,0.15853425507124685
22,pg,0.8666634190312196,1.0997992890952775,0.00972299586200132,0.13377321845152879,0.5477740971723211
23,trv,1.251194639286851,2.0548480564603637,0.016899629929894855,0.3356774662090627,0.353133137645145
24,unh,1.1636562684812537,2.017648426207641,0.014835028295199256,0.2740518689618894,0.3634042372496099
25,v,0.6782101067657184,0.834482272036526,0.018872131683447833,0.20319095117236396,0.22369857359758882
